Date;AIG;ALL;BRK;MET;PRU;BAC;C;GS;JPM;LEH;MS;AXP;BK;COF;PNC;STT;USB;WFC;FMCC;FNMA
02.02.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
03.02.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
04.02.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
07.02.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
08.02.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
09.02.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
10.02.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
11.02.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
14.02.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
15.02.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
16.02.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
17.02.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
18.02.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
21.02.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
22.02.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
23.02.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
24.02.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
25.02.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
28.02.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
29.02.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
01.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
02.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
03.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
06.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
07.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
08.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
09.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
10.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
13.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
14.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
15.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
16.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
