Date;AIG;ALL;BRK;MET;PRU;BAC;C;GS;JPM;LEH;MS;AXP;BK;COF;PNC;STT;USB;WFC;FMCC;FNMA
14.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
15.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
16.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
17.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
18.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
21.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
22.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
23.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
25.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
29.02.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01.03.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
